Date,Price,Open,High,Low,Vol.,Change %
2020-09-25,1860.05,1868.61,1875.28,1852.59,,-0.43%
2020-09-24,1868.04,1863.42,1877.30,1848.45,,0.24%
2020-09-23,1863.55,1900.20,1905.56,1855.77,,-1.88%
2020-09-22,1899.28,1912.80,1919.99,1894.93,,-0.69%
2020-09-21,1912.57,1949.55,1955.75,1883.21,,-1.90%
2020-09-18,1949.69,1943.87,1960.20,1941.79,,0.37%
2020-09-17,1942.60,1959.99,1963.48,1932.99,,-0.85%
2020-09-16,1959.32,1956.19,1973.63,1949.89,,0.19%
2020-09-15,1955.52,1957.31,1972.35,1948.64,,-0.04%
2020-09-14,1956.37,1941.05,1962.52,1937.46,,0.77%
2020-09-11,1941.50,1955.20,1957.95,1937.42,,-0.64%
2020-09-10,1954.07,1946.06,1966.50,1941.42,,0.38%
2020-09-09,1946.66,1932.26,1950.95,1920.20,,0.80%
2020-09-08,1931.26,1929.14,1940.80,1906.57,,0.11%
2020-09-07,1929.18,1930.35,1941.45,1924.43,,-0.19%
2020-09-04,1932.85,1931.51,1942.25,1916.64,,0.10%
2020-09-03,1930.85,1943.00,1951.15,1921.95,,-0.62%
2020-09-02,1942.98,1969.71,1974.41,1932.75,,-1.40%
2020-09-01,1970.49,1967.58,1992.26,1963.22,,0.02%
2020-08-31,1970.15,1965.39,1976.53,1954.55,,0.27%
2020-08-28,1964.89,1929.44,1973.81,1923.71,,1.85%
2020-08-27,1929.20,1953.35,1976.32,1909.96,,-1.27%
2020-08-26,1954.03,1928.66,1955.15,1902.81,,1.34%
2020-08-25,1928.19,1932.66,1937.55,1914.31,,-0.25%
2020-08-24,1933.09,1938.63,1962.04,1924.28,,-0.36%
2020-08-21,1940.16,1946.96,1956.37,1911.76,,-0.18%
2020-08-20,1943.60,1929.28,1955.99,1925.47,,0.71%
2020-08-19,1929.82,2001.22,2006.51,1924.63,,-3.57%
2020-08-18,2001.20,1985.47,2015.23,1977.56,,0.76%
2020-08-17,1986.20,1946.22,1990.91,1929.74,,2.16%
2020-08-14,1944.29,1953.98,1962.62,1932.46,,-0.50%
2020-08-13,1954.00,1920.87,1966.83,1913.42,,1.87%
2020-08-12,1918.07,1911.26,1949.26,1863.92,,0.34%
2020-08-11,1911.64,2027.11,2031.59,1901.57,,-5.73%
2020-08-10,2027.77,2033.71,2050.10,2019.42,,-0.36%
2020-08-07,2035.03,2064.52,2072.90,2015.48,,-1.39%
2020-08-06,2063.81,2040.03,2069.84,2034.83,,1.15%
2020-08-05,2040.40,2018.98,2056.10,2010.33,,1.08%
2020-08-04,2018.52,1976.45,2019.96,1968.38,,2.09%
2020-08-03,1977.25,1980.43,1985.22,1960.15,,0.07%
2020-07-31,1975.89,1960.96,1981.11,1955.99,,0.79%
2020-07-30,1960.50,1970.89,1972.25,1940.17,,-0.52%
2020-07-29,1970.73,1959.71,1980.67,1944.96,,0.57%
2020-07-28,1959.50,1942.22,1981.14,1907.69,,0.88%
2020-07-27,1942.42,1899.29,1945.71,1899.29,,2.15%
2020-07-24,1901.46,1886.83,1906.47,1881.58,,0.74%
2020-07-23,1887.44,1871.97,1898.49,1862.38,,0.82%
